,product_url,product_name,product_img,product_price
27,/vp/products/169552967?itemId=485084528&vendorItemId=4275521823&sourceType=CATEGORY&categoryId=178354,"인비오 휴대용 DVD 플레이어, PD-2000HD(핑크)",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/12/18/19/6/78b553a4-66a2-4a80-ad81-626f3d8ff263.jpg,"134,080"
28,/vp/products/5436215490?itemId=8252657548&vendorItemId=75540618895&sourceType=CATEGORY&categoryId=178354,"스마트에버 4K UHD 189cm 스마트 TV SA75G, 스탠드형, 방문설치",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276536239000719-cdc372c4-5d61-49fd-a210-de2ee7255bf7.jpg,"1,044,370"
29,/vp/products/4523294256?itemId=5455935704&vendorItemId=70972216959&sourceType=CATEGORY&categoryId=178354,LG전자 시네빔 빔프로젝터 PF50KA,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/06/22/3586151343/ade1dcd5-2e38-46ed-9e1b-9eb3d31497f4.jpg,"678,800"
30,/vp/products/4925589444?itemId=6462935916&vendorItemId=73757412753&sourceType=CATEGORY&categoryId=178354,"LG전자 UHD 올레드 123cm OLED TV OLED48CXKNB, 스탠드형, 방문설치",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/02/14/1/37ea9fd9-ee1c-464a-bd3c-ed1e7d2befe2.jpg,"1,510,180"
31,/vp/products/168473355?itemId=482235012&vendorItemId=73654219795&sourceType=CATEGORY&categoryId=178354,"넥시 4K 1:2 HDMI 분배기 2포트, NX-4K HDMI SPLITTER 2P",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/07/10/4212878577/8c14722b-6b36-4670-a3d2-76affee55d2d.jpg,"12,000"
32,/vp/products/1956750044?itemId=3324951534&vendorItemId=70896333654&sourceType=CATEGORY&categoryId=178354,"더함 UHD LED 125cm HDR 안드로이드 스마트 TV U501UHD, 스탠드형, 자가설치",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/13/17/4/80460efb-6af0-4a93-97a5-d38e5f3e2eea.jpg,"439,000"
33,/vp/products/5030629616?itemId=6756671582&vendorItemId=72904062603&sourceType=CATEGORY&categoryId=178354,Xiaomi 미TV 스틱 블랙/1080P/한국어 지원/글로벌 버전/국내 6개월 AS,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c3f0/c9cad01192d573a301d6852c5e241af3573f365826370bf4181717c4805b.jpg,"44,200"
34,/vp/products/5073992843?itemId=6870764245&vendorItemId=74163350119&sourceType=CATEGORY&categoryId=178354,"넥스 81cm LED TV [LG패널 무결점] [NK32G], 자가설치, 스탠드형",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c116/8abae2f10dfc65514c04c96161571db3dd49bc868705f8a7d030de4c6299.jpg,"189,000"
35,/vp/products/4623547457?itemId=5734075236&vendorItemId=5590951862&sourceType=CATEGORY&categoryId=178354,Coms LED 미니 빔프로젝터 1500루멘 화이트 RE342S,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/05/13/7/6e44c606-c3ff-4ab4-9ac7-c25f7f9d33c4.jpg,"111,980"
36,/vp/products/310752907?itemId=980154936&vendorItemId=5397288753&sourceType=CATEGORY&categoryId=178354,딜라이브 UHD H5 플러스 OTT 셋톱박스,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/83934914386470-1ddfeaab-8ef8-45cd-9f2c-cb44c4e13af8.jpg,"159,000"
37,/vp/products/5471877970?itemId=8410709086&vendorItemId=75698346479&sourceType=CATEGORY&categoryId=178354,"시티브 UHD LED 125cm A급패널 TV CD500HUHD, 자가설치, 스탠드형",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/dwwi9bjl/a1e885474f154ff5b04f9fcec790ee89.jpg,"349,000"
38,/vp/products/5227749731?itemId=7350389304&vendorItemId=76886062821&sourceType=CATEGORY&categoryId=178354,"구글 크롬캐스트 4K 구글 TV 내장-2020 NEW, snow",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f80c/8a9ee598ffcd2235ed2a61f77df8c3cce28a45d5723032045974a732e0b3.jpg,"40,470"
39,/vp/products/140323309?itemId=408906404&vendorItemId=74120977837&sourceType=CATEGORY&categoryId=178354,"윤씨네 족자스크린 화이트 80인치 4:3, J80",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/10/01/17/6/847c8bb9-fea2-49ba-a169-b610cc04e62b.jpg,"40,210"
40,/vp/products/2334778121?itemId=4042654018&vendorItemId=75212727318&sourceType=CATEGORY&categoryId=178354,"샤오미 Wanbo 가정용 빔프로젝트/미니 빔/T2 Free Pro Max/리모컨 포함/관세포함/무료배송, 빔프로젝터 T2 Pro Max 1080P",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0e30/ab082bdc78324690bac5c2f284a7a78273bd437484fed24feea9f6bb5195.png,"138,000"
41,/vp/products/4633461745?itemId=5755271047&vendorItemId=73053873729&sourceType=CATEGORY&categoryId=178354,"우노큐브 호매틱스 BoxQ 스마트 안드로이드10 OTT 셋탑박스 넷플릭스 유튜브 웨이브 왓챠 구글앱스토어 지원, [우노큐브] 호매틱스 Box Q",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f8f9/0aa330559210fd8e30933f46c163c782162e5c3cbae6b4100b160fd63202.png,"99,000"
42,/vp/products/22087958?itemId=85997306&vendorItemId=74682598500&sourceType=CATEGORY&categoryId=178354,메카트로 NOTTOO 삼성 리모컨 COMBO-2100,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/14/3146292374/7398521e-52d8-4251-8ca5-d719b0682f58.jpg,"5,440"
